agent_id,time_step,vertex_index
0,0,41
0,1,9
0,2,8
0,3,40
0,4,39
0,5,38
0,6,6
0,7,5
0,8,4
0,9,36
0,10,35
0,11,34
0,12,66
0,13,98
0,14,130
0,15,162
0,16,194
0,17,226
0,18,225
0,19,224
0,20,256
0,21,288
0,22,320
0,23,352
0,24,353
0,25,354
0,26,386
0,27,418
0,28,450
0,29,449
0,30,448
0,31,480
0,32,481
0,33,513
0,34,545
0,35,546
0,36,547
0,37,579
0,38,580
0,39,612
0,40,613
0,41,645
0,42,646
0,43,678
0,44,710
0,45,711
0,46,712
0,47,713
0,48,745
0,49,777
0,50,809
0,51,841
0,52,873
0,53,874
0,54,875
0,55,907
0,56,908
0,57,909
0,58,910
0,59,878
1,0,265
1,1,297
1,2,329
1,3,361
1,4,362
1,5,394
1,6,426
1,7,458
1,8,490
1,9,522
1,10,554
1,11,586
1,12,618
1,13,650
1,14,649
1,15,681
1,16,713
1,17,745
1,18,744
1,19,743
1,20,742
1,21,741
1,22,740
1,23,739
1,24,738
1,25,770
1,26,769
1,27,801
1,28,802
1,29,834
1,30,866
2,0,1011
2,1,979
2,2,947
2,3,946
2,4,914
2,5,882
2,6,850
2,7,849
2,8,817
2,9,785
2,10,784
2,11,783
2,12,751
2,13,719
2,14,687
2,15,655
2,16,623
2,17,622
2,18,590
2,19,558
2,20,526
2,21,494
2,22,462
2,23,430
2,24,398
2,25,366
2,26,334
2,27,302
2,28,301
2,29,269
3,0,87
3,1,119
3,2,151
3,3,150
3,4,149
3,5,148
3,6,147
3,7,179
3,8,178
3,9,210
3,10,209
3,11,241
3,12,240
3,13,239
3,14,238
3,15,237
3,16,236
3,17,235
4,0,862
4,1,894
4,2,926
4,3,927
4,4,959
4,5,991
4,6,990
4,7,989
4,8,988
4,9,1020
4,10,1019
4,11,1018
4,12,1017
4,13,985
4,14,984
4,15,983
4,16,982
4,17,1014
4,18,1013
4,19,1012
4,20,1011
4,21,1010
4,22,1009
4,23,1008
4,24,1007
4,25,1006
4,26,1005
4,27,1004
4,28,1003
4,29,1002
4,30,1001
4,31,969
4,32,968
4,33,936
4,34,935
4,35,903
4,36,902
4,37,901
4,38,900
4,39,868
4,40,836
4,41,804
4,42,772
4,43,740
4,44,708
4,45,709
4,46,710
4,47,678
4,48,646
4,49,614
4,50,613
4,51,612
4,52,580
4,53,548
4,54,516
4,55,484
4,56,485
4,57,453
5,0,2
5,1,34
5,2,66
5,3,67
5,4,68
5,5,36
5,6,37
5,7,69
5,8,101
5,9,133
5,10,165
5,11,197
5,12,229
5,13,261
5,14,293
6,0,808
6,1,809
6,2,810
6,3,811
6,4,812
6,5,780
6,6,781
6,7,782
